TestExecutive(R) Version 5.0.17
SMU诊断通过  SMU Diagnostics Passed (Version 5)
 
17 JUL 17  11:17:03
C:\USERS\C919\DESKTOP\10102_WIT_P\500V.RO
 
ABT E D S
INP "Serial number" Y ser
SERIAL NUMBER
SERIAL NUMBER\500V
SEL E:\TESTFILE\report\10102_WIT_V.TXT
ACT E:\919UT.UT
  
F 500V >30M 0.1T 0.2S
  
STP
停止
测试引擎输入中断模式，按下前进继续
ENB DIG PAT DTB
  
*绝缘测试*
INP "请输入温度，湿度" Y ser
请输入温度，湿度
请输入温度，湿度\摄氏度：26.7，湿度：57%
INP "开始" Y ser
开始
开始\
F SMU       500V      30.00M              00.200S    00.100T
:      	   	      	00945	PASS 	 732.9M   	OHM	GND
:      	FC 	72121 	     	      	         	   	2M-21R-P3-2
:      	   	      	00945	PASS 	 746.0M   	OHM	GND
:      	FC 	72122 	     	      	         	   	2M-21R-P3-3
:      	   	      	00945	PASS 	 745.0M   	OHM	GND
:      	FC 	32718 	     	      	         	   	P-3311-P1-29
:      	   	      	00945	PASS 	 439.1M   	OHM	GND
:      	FC 	32718 	     	      	         	   	P-3311-P1-29
:      	   	      	00945	PASS 	 462.7M   	OHM	GND
:      	FC 	71234 	     	      	         	   	H-211-P1-E
:      	   	      	00945	PASS 	 659.5M   	OHM	GND
:      	FC 	71232 	     	      	         	   	H-211-P1-C
:      	   	      	00945	PASS 	 688.4M   	OHM	GND
:      	FC 	71240 	     	      	         	   	H-211-P1-L
:      	   	      	00945	PASS 	 686.8M   	OHM	GND
:      	FC 	71241 	     	      	         	   	H-211-P1-M
:      	   	      	00945	PASS 	 688.8M   	OHM	GND
:      	FC 	71233 	     	      	         	   	H-211-P1-D
:      	   	      	00945	PASS 	 693.8M   	OHM	GND
:      	FC 	41534 	     	      	         	   	H-213-P1-E
:      	   	      	00945	PASS 	 645.3M   	OHM	GND
:      	FC 	41532 	     	      	         	   	H-213-P1-C
:      	   	      	00945	PASS 	 582.9M   	OHM	GND
:      	FC 	41540 	     	      	         	   	H-213-P1-L
:      	   	      	00945	PASS 	 633.9M   	OHM	GND
:      	FC 	41541 	     	      	         	   	H-213-P1-M
:      	   	      	00945	PASS 	 637.4M   	OHM	GND
:      	FC 	41533 	     	      	         	   	H-213-P1-D
:      	   	      	00945	PASS 	 651.5M   	OHM	GND
:      	FC 	30541 	     	      	         	   	H-214-P1-B
:      	   	      	00945	PASS 	 615.5M   	OHM	GND
:      	FC 	30543 	     	      	         	   	H-214-P1-D
:      	   	      	00945	PASS 	 459.8M   	OHM	GND
:      	FC 	30601 	     	      	         	   	H-215-P1-B
:      	   	      	00945	PASS 	 626.4M   	OHM	GND
:      	FC 	30603 	     	      	         	   	H-215-P1-D
:      	   	      	00945	PASS 	 639.9M   	OHM	GND
:      	FC 	52000 	     	      	         	   	1D-21H-P1-A
:      	   	      	00945	PASS 	 532.4M   	OHM	GND
:      	FC 	52001 	     	      	         	   	1D-21H-P1-B
:      	   	      	00945	PASS 	 592.7M   	OHM	GND
:      	FC 	52003 	     	      	         	   	1D-21H-P1-D
:      	   	      	00945	PASS 	 547.3M   	OHM	GND
:      	FC 	52004 	     	      	         	   	1D-21H-P1-E
:      	   	      	00945	PASS 	 477.0M   	OHM	GND
:      	FC 	52030 	     	      	         	   	1D-21M-P1-A
:      	   	      	00945	PASS 	 751.8M   	OHM	GND
:      	FC 	52031 	     	      	         	   	1D-21M-P1-B
:      	   	      	00945	PASS 	 734.6M   	OHM	GND
:      	FC 	52033 	     	      	         	   	1D-21M-P1-D
:      	   	      	00945	PASS 	 748.8M   	OHM	GND
:      	FC 	52034 	     	      	         	   	1D-21M-P1-E
:      	   	      	00945	PASS 	 709.9M   	OHM	GND
:      	FC 	52132 	     	      	         	   	1M-21N-P1-N
:      	   	      	00945	PASS 	 630.6M   	OHM	GND
:      	FC 	52131 	     	      	         	   	1M-21N-P1-M
:      	   	      	00945	PASS 	 635.1M   	OHM	GND
:      	FC 	52129 	     	      	         	   	1M-21N-P1-K
:      	   	      	00945	PASS 	 661.3M   	OHM	GND
:      	FC 	52136 	     	      	         	   	1M-21N-P1-T
:      	   	      	00945	PASS 	 431.3M   	OHM	GND
:      	FC 	52133 	     	      	         	   	1M-21N-P1-P
:      	   	      	00945	PASS 	 620.1M   	OHM	GND
:      	FC 	52130 	     	      	         	   	1M-21N-P1-L
:      	   	      	00945	PASS 	 530.6M   	OHM	GND
:      	FC 	52120 	     	      	         	   	1M-21N-P1-A
:      	   	      	00945	PASS 	 516.8M   	OHM	GND
:      	FC 	52130 	     	      	         	   	1M-21N-P1-L
:      	   	      	00945	PASS 	 535.5M   	OHM	GND
:      	FC 	52120 	     	      	         	   	1M-21N-P1-A
:      	   	      	00945	PASS 	 513.3M   	OHM	GND
:      	FC 	52217 	     	      	         	   	1M-21Q-P1-8
:      	   	      	00945	PASS 	 608.2M   	OHM	GND
:      	FC 	52216 	     	      	         	   	1M-21Q-P1-7
:      	   	      	00945	PASS 	 625.4M   	OHM	GND
:      	FC 	52213 	     	      	         	   	1M-21Q-P1-4
:      	   	      	00945	PASS 	 597.5M   	OHM	GND
:      	FC 	52212 	     	      	         	   	1M-21Q-P1-3
:      	   	      	00945	PASS 	 568.4M   	OHM	GND
:      	FC 	52211 	     	      	         	   	1M-21Q-P1-2
:      	   	      	00945	PASS 	 512.9M   	OHM	GND
:      	FC 	52210 	     	      	         	   	1M-21Q-P1-1
:      	   	      	00945	PASS 	 610.9M   	OHM	GND
:      	FC 	20116 	     	      	         	   	1U-211-P1-A-F11
:      	   	      	00945	PASS 	 490.0M   	OHM	GND
:      	FC 	20117 	     	      	         	   	1U-211-P1-A-F12
:      	   	      	00945	PASS 	 472.1M   	OHM	GND
:      	FC 	60000 	     	      	         	   	2D-21H-P1-A
:      	   	      	00945	PASS 	 618.3M   	OHM	GND
:      	FC 	60001 	     	      	         	   	2D-21H-P1-B
:      	   	      	00945	PASS 	 627.3M   	OHM	GND
:      	FC 	60003 	     	      	         	   	2D-21H-P1-D
:      	   	      	00945	PASS 	 609.6M   	OHM	GND
:      	FC 	60004 	     	      	         	   	2D-21H-P1-E
:      	   	      	00945	PASS 	 614.6M   	OHM	GND
:      	FC 	60030 	     	      	         	   	2D-21M-P1-A
:      	   	      	00945	PASS 	 630.9M   	OHM	GND
:      	FC 	60031 	     	      	         	   	2D-21M-P1-B
:      	   	      	00945	PASS 	 622.3M   	OHM	GND
:      	FC 	60033 	     	      	         	   	2D-21M-P1-D
:      	   	      	00945	PASS 	 608.1M   	OHM	GND
:      	FC 	60034 	     	      	         	   	2D-21M-P1-E
